Optimizer,objfname,startTime,EndTime,ExecutionTime
GSA,F1,2024-01-14-23-23-05,2024-01-14-23-23-05,0.726330041885376
GSA,F2,2024-01-14-23-23-08,2024-01-14-23-23-08,0.8091275691986084
GSA,F3,2024-01-14-23-23-10,2024-01-14-23-23-11,0.8382308483123779
GSA,F4,2024-01-14-23-23-12,2024-01-14-23-23-13,0.793562650680542
GSA,F5,2024-01-14-23-23-14,2024-01-14-23-23-14,0.8431985378265381
GSA,F6,2024-01-14-23-23-16,2024-01-14-23-23-17,0.7907872200012207
GSA,F7,2024-01-14-23-23-18,2024-01-14-23-23-19,0.7882657051086426
GSA,F8,2024-01-14-23-23-20,2024-01-14-23-23-21,0.8061208724975586
GSA,F9,2024-01-14-23-23-23,2024-01-14-23-23-24,0.8111326694488525
GSA,F10,2024-01-14-23-23-25,2024-01-14-23-23-26,0.8223657608032227
GSA,F11,2024-01-14-23-23-27,2024-01-14-23-23-28,0.8368072509765625
GSA,F12,2024-01-14-23-23-29,2024-01-14-23-23-30,0.881462812423706
GSA,F13,2024-01-14-23-23-32,2024-01-14-23-23-33,0.8209860324859619
GSA,F14,2024-01-14-23-23-35,2024-01-14-23-23-35,0.3481423854827881
GSA,F15,2024-01-14-23-23-37,2024-01-14-23-23-37,0.22018098831176758
GSA,F16,2024-01-14-23-23-38,2024-01-14-23-23-38,0.10962772369384766
GSA,F17,2024-01-14-23-23-40,2024-01-14-23-23-40,0.11461448669433594
GSA,F18,2024-01-14-23-23-41,2024-01-14-23-23-41,0.10682344436645508
GSA,F19,2024-01-14-23-23-43,2024-01-14-23-23-43,0.17111730575561523
GSA,F20,2024-01-14-23-23-45,2024-01-14-23-23-45,0.28328633308410645
GSA,F21,2024-01-14-23-23-47,2024-01-14-23-23-47,0.18225979804992676
GSA,F22,2024-01-14-23-23-48,2024-01-14-23-23-48,0.17273402214050293
GSA,F23,2024-01-14-23-23-50,2024-01-14-23-23-50,0.20999622344970703
